"mock_product_id","motif","surface","details","visual_description"
"MOCK-038","none","solid|matte_technical_mesh","elastic_waistband|side_pockets|knee_length|loose_fit|pull_on","Black training shorts in matte technical mesh with an elasticated waistband, side pockets and a loose knee-length leg."
"MOCK-040","none","metallic|high_shine_coated","top_zip|adjustable_webbing_strap|side_release_buckle|crescent_shape","Silver metallic waist bag with a high-shine coated finish, a single top zip and an adjustable black webbing strap with a side-release buckle."
"MOCK-041","none","matte_leather_and_mesh|tonal_panels","lace_up|low_top|heel_pull_tab|reinforced_toe_cap|deep_lugged_sole|trail_construction","Olive trail sneakers panelled in matte leather and mesh with a reinforced toe cap, heel pull tab and an aggressive deep-lugged black outsole."
"MOCK-042","none","solid|glossy_crinkle_nylon","stand_collar|full_zip|raglan_sleeves|cropped|elastic_hem|elastic_cuffs|boxy","Purple cropped windbreaker in glossy crinkled nylon with a stand collar, full zip and elasticated cropped hem and cuffs."
"MOCK-043","none","solid|smooth_leather","pointed_toe|block_heel|side_zip|ankle_height|clean_upper","Black ankle boots in smooth faux leather with a pointed toe, a low block heel and a side zip on a clean unadorned upper."
"MOCK-044","none","solid|brushed_wool","notch_lapel|single_breasted|three_buttons|welt_pockets|knee_length|lined|straight_cut","Camel single-breasted wool-blend coat with notch lapels, three buttons, slanted welt pockets and a straight knee-length line."
"MOCK-045","none","satin|high_shine|fluid_drape","cowl_neck|spaghetti_straps|fitted_waist|ruched_side|bias_cut|asymmetric_midi_hem","Emerald satin midi dress with a draped cowl neckline, fine spaghetti straps, a ruched waist and a bias-cut asymmetric hem."
"MOCK-046","none","solid|smooth_leather","lace_up|low_top|cupsole|minimal_upper|tonal_stitching","White minimal leather sneakers with a clean unbranded upper, tonal stitching and a slim white cupsole."
"MOCK-047","none","solid|grained_faux_leather","two_rolled_handles|structured_box_shape|open_top|flat_base|roomy|unbranded","Black structured tote in grained faux leather with a squared box body, two rolled top handles and a roomy open interior."
"MOCK-048","none","fine_gauge_knit|soft_wool","ribbed_crew_neck|ribbed_cuffs|ribbed_hem|regular_fit|raglan_free_shoulders","Navy crew-neck sweater in a fine soft wool-blend knit with ribbed neck, cuffs and hem and a clean regular fit."
"MOCK-049","none","solid|smooth_suiting|matte_sheen","high_waist|double_pleats|wide_leg|pressed_crease|belt_loops|hook_closure","Ivory pleated wide-leg trousers with a high waist, deep double front pleats and a long pressed column leg."
"MOCK-050","none","grained_leather|polished","chelsea_shape|elastic_side_gussets|heel_pull_tab|almond_toe|stacked_low_heel|welted_sole","Dark brown Chelsea boots in grained leather with elastic side gussets, a heel pull tab and a stacked low heel on a welted sole."
"MOCK-051","none","polished_metal|high_shine","hoop_shape|hinged_snap_closure|tubular_profile|medium_diameter","Rose-gold tone hoop earrings with a smooth polished tubular profile and a hinged snap closure."
"MOCK-052","none","solid|wool_flannel|marled","notch_lapel|two_button|flap_pockets|welt_chest_pocket|lined|tailored|structured_shoulder","Charcoal tailored suit jacket in marled wool flannel with notch lapels, two buttons, flap hip pockets and a structured shoulder."
"MOCK-053","none","velvet|plush_pile|light_catching","cowl_neck|spaghetti_straps|ruched_side|bodycon|mini_length","Burgundy velvet mini dress with a soft draped cowl neck, fine straps and ruching through a close bodycon body."
"MOCK-054","none","solid|matte_technical_shell","detachable_style_hood|drawcord_hood|full_zip|two_chest_zip_pockets|two_flap_hip_pockets|sleeve_zip_pocket|velcro_cuffs|longline","Grey technical parka in a matte weatherproof shell with a drawcord hood, zipped chest and sleeve pockets, large flap hip pockets and hook-and-loop cuffs."
"MOCK-055","none","solid|smooth_leather","pin_buckle|keeper_loop|punched_holes|slim_strap|gunmetal_hardware|edge_stitched","Black slim leather belt with edge stitching, a gunmetal pin buckle and a single keeper loop."
"MOCK-056","none","brushed_wool|soft_napped","fringed_ends|long_rectangular|wide|raw_edge","Powder-blue scarf in a soft brushed cashmere-feel wool, cut long and wide with twisted fringing at both ends."
"MOCK-058","none","washed_denim|grey_wash|faded","high_waist|belt_loops|two_cargo_flap_pockets|straight_wide_leg|button_fly|utility","Washed grey cargo jeans in faded denim with belt loops, large flap thigh pockets and a straight relaxed leg."
"MOCK-059","none","ribbed|fine_rib_knit","ribbed_crew_neck|short_sleeves|cropped|fitted|baby_tee","Pink baby tee in fine ribbed jersey with a ribbed crew neck, short sleeves and a cropped fitted body."
"MOCK-060","none","solid|matte_nylon","top_zip|front_zip_pocket|side_slip_pockets|padded_adjustable_straps|top_carry_handle|rounded_shape","Black mini backpack in matte nylon with a curved top zip, a zipped front pocket, side slip pockets and padded adjustable straps."
"MOCK-061","none","solid|slubbed_linen|natural_texture","point_collar|full_button_placket|short_rolled_sleeves|self_tie_belt|curved_hem|side_slits","Cream linen-blend shirt dress with a point collar, full button front, rolled short sleeves and a self-tie waist belt."
"MOCK-062","none","solid|smooth_leather","lace_up|low_profile_sole|round_toe|tonal_stitching|minimal_upper","White low-profile sneakers in smooth leather with a slim tonal sole, round toe and an unbranded minimal upper."
"MOCK-063","none","solid|smooth_suiting|matte","high_waist|single_pleat|belt_loops|wide_leg|pressed_crease|tailored","Navy tailored wide-leg trousers with a high waist, single front pleat, belt loops and a long pressed column leg."
"MOCK-064","none","solid|grained_faux_leather","flap_closure|structured_boxy_body|adjustable_shoulder_strap|clip_hooks|matte_black_hardware","Black crossbody bag in grained faux leather with a clean flap closure, a structured boxy body and a long adjustable strap on matte black clips."
"MOCK-022","geometric|abstract|squares_circles_rectangles","print|jersey_cotton|flat_solid_blocks","ribbed_crew_neck|dropped_shoulder|short_wide_sleeves|oversized|chest_print","White oversized tee with a black Bauhaus-style geometric chest print of hard-edged squares, rectangles, a filled circle and thin intersecting rules."
"MOCK-039","geometric|abstract|triangles_circles_grid","print|jersey_cotton|distressed_halftone|multicolour","ribbed_crew_neck|dropped_shoulder|short_wide_sleeves|oversized|chest_print","Orange oversized tee with a large abstract geometric chest print in charcoal, sand and tan: overlapping triangles, a circle and grid rules in a distressed screen-print texture."
"MOCK-057","geometric|abstract|circles_rectangles_arcs","print|brushed_fleece|distressed_halftone|multicolour","hood|drawstring|kangaroo_pocket|ribbed_cuffs|ribbed_hem|oversized|chest_print","Black oversized hoodie with a large abstract geometric chest print in cream, red and grey: stacked rectangles, arcs and overlapping circles in a worn halftone finish."
